,links,link_text,text_meta
0,"Link(url='https://www.google.com/url?q=https://www.journaldev.com/&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQFjAAegQIBxAB&usg=AOvVaw1PopOpmvxO-E0dkMDAVrGm', text='JournalDevwww.journaldev.com', fragment='', nofollow=False)",JournalDevwww.journaldev.com,
1,"Link(url='https://www.google.com/url?q=https://www.journaldev.com/7153/core-java-tutorial&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQjBAwAXoECAcQAw&usg=AOvVaw2x-sV4OkMgNO4TommZqwyR', text='Core Java Tutorial', fragment='', nofollow=False)",Core Java Tutorial,
2,"Link(url='https://www.google.com/url?q=https://www.journaldev.com/java-interview-questions&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQjBAwAnoECAcQBQ&usg=AOvVaw3ezEUemnXXO8AWeViep47q', text='Java Interview Questions', fragment='', nofollow=False)",Java Interview Questions,
3,"Link(url='https://www.google.com/url?q=https://www.journaldev.com/2888/spring-tutorial-spring-core-tutorial&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQjBAwA3oECAcQBw&usg=AOvVaw25AxPfhwztPeq-akc-wMEc', text='Spring Tutorial - Spring Core ...', fragment='', nofollow=False)",Spring Tutorial - Spring Core ...,
4,"Link(url='https://www.google.com/url?q=https://www.journaldev.com/2366/core-java-interview-questions-and-answers&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQjBAwBHoECAcQCQ&usg=AOvVaw0iQ0clzBFDyQ8VoWnufNl9', text='Core Java Interview Questions', fragment='', nofollow=False)",Core Java Interview Questions,
5,"Link(url='https://www.google.com/url?q=https://www.journaldev.com/java-tutorial-java-ee-tutorials&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQjBAwBXoECAcQCw&usg=AOvVaw3jqB1eno4tDENBrXhHSVJe', text='Java Tutorial, Java EE Tutorials', fragment='', nofollow=False)","Java Tutorial, Java EE Tutorials",
6,"Link(url='https://www.google.com/url?q=https://www.journaldev.com/about&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQjBAwBnoECAcQDQ&usg=AOvVaw0aQLcv35DQ6lH-_JrWkLOt', text='About', fragment='', nofollow=False)",About,
7,"Link(url='https://www.google.com/url?q=https://twitter.com/JournalDev%3Fref_src%3Dtwsrc%255Egoogle%257Ctwcamp%255Eserp%257Ctwgr%255Eauthor&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQ6F56BAgGEAI&usg=AOvVaw2RTIrLeGBfEbisFWk64tZa', text='Pankaj KumarTwitter › JournalDev', fragment='', nofollow=False)",Pankaj KumarTwitter › JournalDev,
8,"Link(url='https://www.google.com/url?q=https://twitter.com/JournalDev/status/1316267276392259584%3Fref_src%3Dtwsrc%255Egoogle%257Ctwcamp%255Eserp%257Ctwgr%255Etweet&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQglQwCHoECAYQBA&usg=AOvVaw183Rw0q6zU9o-BnUjWsKsU', text='GoLang Article Updated: GoLang finance-go package – Stock Quote, Options, Chart golangdocs.com/golang-fin…1 day ago', fragment='', nofollow=False)","GoLang Article Updated: GoLang finance-go package – Stock Quote, Options, Chart golangdocs.com/golang-fin…1 day ago","GoLang Article Updated: GoLang finance-go package – Stock Quote, Options, Chart golangdocs.com/golang-fin…"
9,"Link(url='https://www.google.com/url?q=https://twitter.com/JournalDev/status/1316080573924818946%3Fref_src%3Dtwsrc%255Egoogle%257Ctwcamp%255Eserp%257Ctwgr%255Etweet&sa=U&ved=2ahUKEwjn__upmLfsAhXMpJ4KHV-3BfMQglQwCXoECAYQBg&usg=AOvVaw1gsFGsV9LZe7phYwOg_rR1', text='Python Tutorial: Using Interpolation To Fill Missing Entries in Python www.askpython.com/python/… #Python2 days ago', fragment='', nofollow=False)",Python Tutorial: Using Interpolation To Fill Missing Entries in Python www.askpython.com/python/… #Python2 days ago,Python Tutorial: Using Interpolation To Fill Missing Entries in Python www.askpython.com/python/… #Python
